CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
1463	1468	-0.00100708	0	0.696444	0.600945	1
28507	28756	-14.022	0	0.778386	0.577724	1
26108	28402	-66.995	0	0.974115	0.696712	1
21075	21099	-0.0039978	0	0.675149	0.680246	1
28402	30657	-232.09	0	0.983872	0.682005	1
20860	22616	-18	0	0.714984	0.488673	1
22389	22393	0.00100708	0	0.868049	0.630779	1
18705	18734	0.0200043	0	0.809872	0.68194	1
29759	29945	-17.028	0	0.939713	0.663752	1
12822	30518	-355.076	0	0.653244	0.498708	1
12065	12076	0	0	0.953817	0.813569	1
13220	13298	-0.0189972	0	0.936389	0.83873	1
12065	12074	-0.00300598	0	0.937175	0.782131	1
18686	18805	-0.0139923	0	0.910422	0.735499	1
28574	28583	-0.00900269	0	0.706553	0.658816	1
12065	12071	0	0	0.957318	0.821946	1
13166	13252	0.00698853	0	0.923577	0.812581	1
1705	1737	-0.0059967	0	0.891098	0.805422	1
12065	12078	-0.00100708	0	0.897769	0.738226	1
18699	18890	0.0019989	0	0.899437	0.791622	1
26622	28449	-58.002	0	0.678098	0.51526	1
11817	12175	-0.00999451	0	0.840933	0.65828	1
1441	1779	-0.00400543	0	0.847815	0.700555	1
29823	30811	-225.1	0	0.649131	0.595795	1
15413	15457	-0.0019989	0	0.981582	0.861191	1
4847	4848	0	0	0.937543	0.737785	1
4140	11016	-14.013	0	0.791827	0.591529	1
15604	15707	0.0140076	0	0.912359	0.77546	1
21783	21794	-0.00299072	0	0.663504	0.611996	1
21783	21796	-0.0039978	0	0.798603	0.750553	1
4465	20803	-46.013	0	0.819023	0.498076	1
16360	16423	0.00700378	0	0.957383	0.837274	1
16360	16422	0.00700378	0	0.979401	0.837805	1
21783	21792	-0.0019989	0	0.663925	0.637388	1
29189	29818	-44.028	0	0.696644	0.659496	1
21953	21981	0.00700378	0	0.936397	0.82218	1
29189	29815	-44.044	0	0.639987	0.58412	1
21783	21799	-0.00900269	0	0.65046	0.594822	1
15432	15504	0.00601196	0	0.96539	0.865234	1
25497	29298	-124.04	0	0.865028	0.466261	1
20763	20765	0	0	0.673937	0.788777	1
11681	11708	-0.00900269	0	0.775057	0.667403	1
14099	14142	-0.0189972	0	0.68871	0.611108	1
13198	13718	-0.053009	0	0.946993	0.805561	1
29076	30747	-239.101	0	0.84775	0.682598	1
14211	14212	0.0019989	0	0.804211	0.713887	1
21937	21945	-0.0039978	0	0.942569	0.887543	1
21937	21940	-0.00299072	0	0.905316	0.750534	1
21937	21941	-0.00900269	0	0.977169	0.915032	1
25484	30051	-193.065	0	0.828107	0.627594	1
27034	30176	-181.11	0	0.955299	0.645985	1
2417	2437	0.0339966	0	0.938536	0.826471	1
23361	25089	-28.01	0	0.755232	0.582736	1
25000	26795	-34.04	0	0.741694	0.400388	1
2417	2432	0.034996	0	0.960389	0.77467	1
13323	13411	-0.0160065	0	0.974269	0.898881	1
30671	30894	-176.105	0	0.82442	0.60231	1
10157	10187	-0.00899506	0	0.937718	0.765795	1
14063	14084	-0.0059967	0	0.835066	0.583397	1
23567	23778	-0.0399933	0	0.778892	0.608188	1
18230	18396	0	0	0.941727	0.646861	1
25162	26125	-14.01	0	0.59672	0.449126	1
13716	13764	-0.0250092	0	0.919914	0.732728	1
26144	28121	-58.044	0	0.674668	0.555576	1
26042	27270	-30.01	0	0.865455	0.56264	1
16057	16058	-0.0139923	0	0.908345	0.656245	1
29143	29762	-45.007	0	0.853622	0.747891	1
13465	13467	-0.00999451	0	0.938999	0.783948	1
13255	13610	-0.0629883	0	0.983329	0.907397	1
26457	26956	-13.996	0	0.775846	0.500017	1
26457	26954	-13.981	0	0.758154	0.438085	1
11806	12327	-0.0220032	0	0.709321	0.636361	1
8800	8970	0.0149994	0	0.856089	0.607173	1
28030	28062	-0.998993	0	0.755772	0.629868	1
17882	18128	0	0	0.963665	0.800535	1
2118	2383	-0.985001	0	0.69926	0.634801	1
23285	24293	-18.01	0	0.648956	0.551624	1
1135	11618	-29.001	0	0.722926	0.616634	1
11640	16214	-14.016	0	0.850883	0.685411	1
13320	13548	0.00500488	0	0.97361	0.901135	1
2550	2719	-0.110001	0	0.950486	0.712569	1
30347	30804	-148.002	0	0.828845	0.764144	1
28203	28744	-24.981	0	0.731966	0.471262	1
30368	30402	-6.948	0	0.684773	0.451064	1
11912	12315	-0.0039978	0	0.81173	0.685774	1
14635	19547	-15.057	0	0.780295	0.463019	1
20807	22433	-17.015	0	0.612869	0.550569	1
20941	20953	-0.00100708	0	0.861657	0.59605	1
8754	9441	-0.0100021	0	0.892234	0.748013	1
23594	28185	-99.067	0	0.806988	0.504579	1
17236	17403	-0.0189972	0	0.935128	0.812088	1
19283	19336	-0.00300598	0	0.90034	0.820068	1
11738	11945	-0.0319977	0	0.712726	0.640214	1
29431	30210	-74.975	0	0.62253	0.529848	1
20360	20368	0	0	0.826798	0.733551	1
10196	14073	-14.018	0	0.891494	0.617439	1
17014	17034	-0.0279999	0	0.772296	0.616284	1
18679	18724	0.026001	0	0.930158	0.835636	1
13283	13611	-0.0119934	0	0.951298	0.896267	1
14116	14118	0.0110016	0	0.717618	0.655606	1
1031	4190	-14.016	0	0.893404	0.769436	1
19500	19508	0.00500488	0	0.67976	0.586742	1
10588	10922	-0.0160065	0	0.865087	0.611021	1
28673	29066	-24.024	0	0.779014	0.591492	1
13242	14035	-0.992004	0	0.616306	0.526194	1
29251	30884	-352.208	0	0.843711	0.447506	1
27479	29052	-70.07	0	0.811507	0.423125	1
17990	18120	0.0220032	0	0.903819	0.824079	1
17190	17813	-0.0540009	0	0.876707	0.723528	1
25096	25097	0.00500488	0	0.671091	0.452297	1
17190	17817	-0.0540009	0	0.77117	0.661055	1
1426	1862	-0.00600433	0	0.856951	0.778181	1
10086	17115	-28.005	0	0.690154	0.508748	1
8773	9188	0.000999451	0	0.93794	0.837863	1
26815	26884	-0.0919952	0	0.601794	0.48049	1
24262	24267	-0.0139923	0	0.930837	0.856558	1
29119	30005	-72.017	0	0.90015	0.55818	1
10199	10200	0	0	0.830199	0.589539	1
26045	28111	-60.03	0	0.746422	0.568455	1
4439	4558	-0.0219955	0	0.89624	0.661348	1
4439	4559	-0.0219955	0	0.878125	0.612773	1
15740	15741	0	0	0.959606	0.821697	1
13284	13305	0.00300598	0	0.977367	0.942106	1
13284	13304	0.00799561	0	0.984092	0.954158	1
8925	9142	0.0159988	0	0.913492	0.776401	1
14636	19538	-15.049	0	0.923915	0.667454	1
13284	13302	0.00300598	0	0.996709	0.976681	1
21864	25080	-42.013	0	0.796479	0.63307	1
19300	19387	-0.0460052	0	0.908257	0.655142	1
1407	11466	-23.997	0	0.781718	0.498083	1
1123	5608	-18.024	0	0.759038	0.470686	1
19520	19542	-0.997009	0	0.580232	0.438513	1
23421	23427	-0.0390015	0	0.790083	0.792441	1
28688	28720	-1.01099	0	0.712289	0.590542	1
4813	4978	-0.998001	0	0.851154	0.604489	1
15302	20174	-15.022	0	0.845733	0.506239	1
5432	6324	0.0279999	0	0.982975	0.733539	1
27708	28035	-13.991	0	0.727215	0.640301	1
1506	2070	0	0	0.83162	0.675988	1
22889	23061	-0.0500031	0	0.778591	0.559507	1
11851	11917	-0.0120087	0	0.914169	0.681718	1
18822	19017	-0.00500488	0	0.800793	0.715281	1
1450	1465	-0.00100708	0	0.902065	0.745456	1
28797	28814	-0.0350037	0	0.756845	0.60408	1
11714	19518	-22.543	0	0.592742	0.501376	1
4942	6545	0.0039978	0	0.864312	0.629055	1
19504	28056	-133.943	0	0.610329	0.478892	1
8782	8899	0.00800323	0	0.92065	0.809696	1
18785	18844	0	0	0.86985	0.632991	1
20946	28897	-161.057	0	0.555238	0.40137	1
17902	18004	0.0149994	0	0.952045	0.856652	1
16312	16575	-0.00100708	0	0.96918	0.829423	1
25355	28245	-71.033	0	0.601568	0.42228	1
1565	2076	0	0	0.940471	0.76545	1
19552	19671	-0.0140076	0	0.634863	0.474382	1
23847	23861	-0.0579987	0	0.580903	0.589792	1
19979	20134	-0.048996	0	0.928569	0.767486	1
2415	16217	-37.974	0	0.844984	0.483052	1
1440	1779	-0.00299835	0	0.898971	0.707443	1
21002	21039	-0.214005	0	0.564389	0.434478	1
18047	18264	0.0370026	0	0.821454	0.48397	1
2757	3018	0.0100021	0	0.948152	0.815493	1
8949	9141	-0.0189972	0	0.95224	0.850609	1
29215	29408	-15.028	0	0.668367	0.577272	1
30173	30204	-2.026	0	0.71104	0.567891	1
22372	22375	-0.00999451	0	0.70567	0.416163	1
19244	19290	-0.0660095	0	0.812098	0.658557	1
27313	28645	-49.959	0	0.582328	0.537411	1
24335	27826	-73.105	0	0.584763	0.402771	1
19504	23008	-30.011	0	0.660002	0.533432	1
21420	22569	-12.018	0	0.724249	0.583513	1
23335	23364	-0.990005	0	0.647416	0.462298	1
20389	20533	-0.0130005	0	0.875969	0.662344	1
31	10126	-41.024	0	0.91456	0.814437	1
20070	20083	-0.0039978	0	0.946405	0.703155	1
20070	20082	-0.0249939	0	0.973513	0.7973	1
3107	3310	0.0100021	0	0.945779	0.88917	1
13317	13504	0.0209961	0	0.92132	0.824839	1
17841	18267	0.0220032	0	0.969023	0.794841	1
896	24360	-114.034	0	0.798038	0.407433	1
4301	4538	-0.00500488	0	0.892339	0.692562	1
8779	8968	0.0149994	0	0.92376	0.809991	1
28274	28638	-15	0	0.569746	0.436912	1
22929	23073	-0.0140076	0	0.910029	0.794659	1
1486	2170	-0.0139999	0	0.964183	0.813741	1
21749	21752	0	0	0.574346	0.568317	1
17872	18037	0	0	0.951791	0.661843	1
21749	21756	0	0	0.589279	0.557298	1
21749	21754	0	0	0.574753	0.512386	1
27552	28670	-43.998	0	0.826689	0.597592	1
19237	19260	0.00801086	0	0.927682	0.695398	1
15352	15387	-0.0110016	0	0.756423	0.714485	1
25106	25135	-0.742996	0	0.632765	0.45949	1
22984	23085	-0.0230103	0	0.919264	0.773733	1
24548	27417	-309.183	0	0.635079	0.420613	1
30090	30334	-30.036	0	0.611987	0.541171	1
13316	13476	0.0209961	0	0.913443	0.759942	1
9388	10031	-0.0370026	0	0.927467	0.756439	1
23803	23836	0.00900269	0	0.615026	0.710313	1
22904	23075	0.0139923	0	0.905455	0.736566	1
27768	28753	-42.13	0	0.591078	0.524496	1
16260	27211	-113.092	0	0.866429	0.588584	1
22118	22209	0	0	0.858232	0.710063	1
8915	8951	-0.00300598	0	0.977113	0.806093	1
27285	27391	-2.04001	0	0.860503	0.705479	1
26997	28647	-58.018	0	0.821711	0.5633	1
15405	15648	-0.0779877	0	0.855582	0.66732	1
22895	23092	-0.0299988	0	0.833292	0.519042	1
23466	23477	0.0019989	0	0.665841	0.675959	1
27708	29253	-75.065	0	0.656608	0.491673	1
16309	16943	-0.0270081	0	0.956496	0.748556	1
23466	23470	-0.00601196	0	0.640319	0.639574	1
23466	23473	-0.0140076	0	0.747921	0.775499	1
13260	13263	0.0019989	0	0.984394	0.939144	1
8787	8967	0.0169983	0	0.984513	0.884762	1
19246	19287	-0.026001	0	0.885155	0.660715	1
30056	30564	-74.066	0	0.830984	0.702306	1
16	788	-11.991	0	0.615763	0.400337	1
796	797	-0.00700378	0	0.912768	0.609999	1
17136	17149	0.00799561	0	0.871355	0.86197	1
17136	17148	0.00900269	0	0.724498	0.723465	1
12406	12465	-0.0570068	0	0.85513	0.664632	1
25510	25512	-0.00601196	0	0.594886	0.632793	1
21077	21091	-0.0019989	0	0.745578	0.682977	1
29944	30811	-211.121	0	0.572193	0.418278	1
21403	21416	-0.0189972	0	0.567203	0.609246	1
21403	21417	-0.0179901	0	0.794795	0.829621	1
28356	29193	-47.985	0	0.968431	0.652755	1
798	867	-0.996994	0	0.729952	0.424938	1
